"GROUP","value","concept","variable","periode_group","siteid"
"ARDS_sup_49",15.1046511627907,"PROC-ICD10","mean_freq","all","FRBDX"
"ARDS_sup_49",13.0546625159861,"PROC-ICD10","std_freq","all","FRBDX"
"NO_ARDS_18_49",14.4957983193277,"DIAG-ICD10","mean_freq","all","FRBDX"
"NO_ARDS_18_49",9.03184005276008,"DIAG-ICD10","std_freq","all","FRBDX"
"NO_ARDS_18_49",30.8813559322034,"LOINC","mean_freq","all","FRBDX"
"NO_ARDS_18_49",25.054187254837,"LOINC","std_freq","all","FRBDX"
"NO_ARDS_18_49",8.30120481927711,"MED-CLASS","mean_freq","all","FRBDX"
"NO_ARDS_18_49",6.78544881373951,"MED-CLASS","std_freq","all","FRBDX"
"NO_ARDS_sup_49",24.8142857142857,"DIAG-ICD10","mean_freq","all","FRBDX"
"NO_ARDS_sup_49",18.5984777706017,"DIAG-ICD10","std_freq","all","FRBDX"
"NO_ARDS_sup_49",53.1655172413793,"LOINC","mean_freq","all","FRBDX"
"NO_ARDS_sup_49",61.2064212083967,"LOINC","std_freq","all","FRBDX"
"NO_ARDS_sup_49",18.2857142857143,"MED-CLASS","mean_freq","all","FRBDX"
"NO_ARDS_sup_49",20.0222119930808,"MED-CLASS","std_freq","all","FRBDX"
"OTHERS_18_49",39.75,"DIAG-ICD10","mean_freq","all","FRBDX"
"OTHERS_18_49",14.3614066163451,"DIAG-ICD10","std_freq","all","FRBDX"
"OTHERS_18_49",66,"LOINC","mean_freq","all","FRBDX"
"OTHERS_18_49",29.0172362570938,"LOINC","std_freq","all","FRBDX"
"OTHERS_18_49",16,"MED-CLASS","mean_freq","all","FRBDX"
"OTHERS_18_49",10.4243305140746,"MED-CLASS","std_freq","all","FRBDX"
"OTHERS_18_49",1,"PROC-ICD10","mean_freq","all","FRBDX"
"OTHERS_18_49",0,"PROC-ICD10","std_freq","all","FRBDX"
"OTHERS_sup_49",36.04,"DIAG-ICD10","mean_freq","all","FRBDX"
"OTHERS_sup_49",27.8230267283509,"DIAG-ICD10","std_freq","all","FRBDX"
"OTHERS_sup_49",81.9423076923077,"LOINC","mean_freq","all","FRBDX"
"OTHERS_sup_49",118.348672874015,"LOINC","std_freq","all","FRBDX"
"OTHERS_sup_49",24.24,"MED-CLASS","mean_freq","all","FRBDX"
"OTHERS_sup_49",35.4173715015899,"MED-CLASS","std_freq","all","FRBDX"
"OTHERS_sup_49",4.81818181818182,"PROC-ICD10","mean_freq","all","FRBDX"
"OTHERS_sup_49",3.40053471731085,"PROC-ICD10","std_freq","all","FRBDX"
"ARDS_18_49",22.3333333333333,"DIAG-ICD10","mean_freq","Aug_Dec","FRBDX"
"ARDS_18_49",14.2945210949277,"DIAG-ICD10","std_freq","Aug_Dec","FRBDX"
"ARDS_18_49",52.0909090909091,"DIAG-ICD10","mean_freq","Jan_Jul","FRBDX"
"ARDS_18_49",17.3058056469761,"DIAG-ICD10","std_freq","Jan_Jul","FRBDX"
"ARDS_18_49",95.6666666666667,"LOINC","mean_freq","Aug_Dec","FRBDX"
"ARDS_18_49",39.7156560229506,"LOINC","std_freq","Aug_Dec","FRBDX"
"ARDS_18_49",251.636363636364,"LOINC","mean_freq","Jan_Jul","FRBDX"
"ARDS_18_49",138.419126371519,"LOINC","std_freq","Jan_Jul","FRBDX"
"ARDS_18_49",19.3333333333333,"MED-CLASS","mean_freq","Aug_Dec","FRBDX"
"ARDS_18_49",24.8461935381123,"MED-CLASS","std_freq","Aug_Dec","FRBDX"
"ARDS_18_49",47.75,"MED-CLASS","mean_freq","Jan_Jul","FRBDX"
"ARDS_18_49",62.7597459705321,"MED-CLASS","std_freq","Jan_Jul","FRBDX"
"ARDS_18_49",8,"PROC-ICD10","mean_freq","Aug_Dec","FRBDX"
"ARDS_18_49",,"PROC-ICD10","std_freq","Aug_Dec","FRBDX"
"ARDS_18_49",21.4,"PROC-ICD10","mean_freq","Jan_Jul","FRBDX"
"ARDS_18_49",14.6833238743821,"PROC-ICD10","std_freq","Jan_Jul","FRBDX"
"ARDS_sup_49",28.3478260869565,"DIAG-ICD10","mean_freq","Aug_Dec","FRBDX"
"ARDS_sup_49",12.4601005726356,"DIAG-ICD10","std_freq","Aug_Dec","FRBDX"
"ARDS_sup_49",43.2077922077922,"DIAG-ICD10","mean_freq","Jan_Jul","FRBDX"
"ARDS_sup_49",31.9396378313587,"DIAG-ICD10","std_freq","Jan_Jul","FRBDX"
"ARDS_sup_49",115.673913043478,"LOINC","mean_freq","Aug_Dec","FRBDX"
"ARDS_sup_49",96.0386622026836,"LOINC","std_freq","Aug_Dec","FRBDX"
"ARDS_sup_49",217.077922077922,"LOINC","mean_freq","Jan_Jul","FRBDX"
"ARDS_sup_49",223.791359966433,"LOINC","std_freq","Jan_Jul","FRBDX"
"ARDS_sup_49",11.375,"MED-CLASS","mean_freq","Aug_Dec","FRBDX"
"ARDS_sup_49",9.41772522359284,"MED-CLASS","std_freq","Aug_Dec","FRBDX"
"ARDS_sup_49",38.7894736842105,"MED-CLASS","mean_freq","Jan_Jul","FRBDX"
"ARDS_sup_49",64.6702451016212,"MED-CLASS","std_freq","Jan_Jul","FRBDX"
"ARDS_sup_49",10.2916666666667,"PROC-ICD10","mean_freq","Aug_Dec","FRBDX"
"ARDS_sup_49",5.02583903154632,"PROC-ICD10","std_freq","Aug_Dec","FRBDX"
"ARDS_sup_49",16.9677419354839,"PROC-ICD10","mean_freq","Jan_Jul","FRBDX"
"ARDS_sup_49",14.6734596386938,"PROC-ICD10","std_freq","Jan_Jul","FRBDX"
"NO_ARDS_18_49",14.5977011494253,"DIAG-ICD10","mean_freq","Aug_Dec","FRBDX"
"NO_ARDS_18_49",9.44317123777436,"DIAG-ICD10","std_freq","Aug_Dec","FRBDX"
"NO_ARDS_18_49",14.21875,"DIAG-ICD10","mean_freq","Jan_Jul","FRBDX"
"NO_ARDS_18_49",7.93820640747908,"DIAG-ICD10","std_freq","Jan_Jul","FRBDX"
"NO_ARDS_18_49",31.7093023255814,"LOINC","mean_freq","Aug_Dec","FRBDX"
"NO_ARDS_18_49",25.4724147353309,"LOINC","std_freq","Aug_Dec","FRBDX"
"NO_ARDS_18_49",28.65625,"LOINC","mean_freq","Jan_Jul","FRBDX"
"NO_ARDS_18_49",24.1455390590397,"LOINC","std_freq","Jan_Jul","FRBDX"
"NO_ARDS_18_49",8.43333333333333,"MED-CLASS","mean_freq","Aug_Dec","FRBDX"
"NO_ARDS_18_49",6.43709237094594,"MED-CLASS","std_freq","Aug_Dec","FRBDX"
"NO_ARDS_18_49",7.95652173913043,"MED-CLASS","mean_freq","Jan_Jul","FRBDX"
"NO_ARDS_18_49",7.76635085053443,"MED-CLASS","std_freq","Jan_Jul","FRBDX"
"NO_ARDS_sup_49",23.6734693877551,"DIAG-ICD10","mean_freq","Aug_Dec","FRBDX"
"NO_ARDS_sup_49",15.8938432186265,"DIAG-ICD10","std_freq","Aug_Dec","FRBDX"
"NO_ARDS_sup_49",26.4114285714286,"DIAG-ICD10","mean_freq","Jan_Jul","FRBDX"
"NO_ARDS_sup_49",21.7787169575086,"DIAG-ICD10","std_freq","Jan_Jul","FRBDX"
"NO_ARDS_sup_49",58.3129770992366,"LOINC","mean_freq","Aug_Dec","FRBDX"
"NO_ARDS_sup_49",72.598574442108,"LOINC","std_freq","Aug_Dec","FRBDX"
"NO_ARDS_sup_49",45.3699421965318,"LOINC","mean_freq","Jan_Jul","FRBDX"
"NO_ARDS_sup_49",36.7891796923837,"LOINC","std_freq","Jan_Jul","FRBDX"
"NO_ARDS_sup_49",16.84375,"MED-CLASS","mean_freq","Aug_Dec","FRBDX"
"NO_ARDS_sup_49",17.8304837035662,"MED-CLASS","std_freq","Aug_Dec","FRBDX"
"NO_ARDS_sup_49",20.3831168831169,"MED-CLASS","mean_freq","Jan_Jul","FRBDX"
"NO_ARDS_sup_49",22.7366848348735,"MED-CLASS","std_freq","Jan_Jul","FRBDX"
"OTHERS_18_49",38.3333333333333,"DIAG-ICD10","mean_freq","Aug_Dec","FRBDX"
"OTHERS_18_49",17.2433562085034,"DIAG-ICD10","std_freq","Aug_Dec","FRBDX"
"OTHERS_18_49",-99,"DIAG-ICD10","mean_freq","Jan_Jul","FRBDX"
"OTHERS_18_49",-99,"DIAG-ICD10","std_freq","Jan_Jul","FRBDX"
"OTHERS_18_49",65.6666666666667,"LOINC","mean_freq","Aug_Dec","FRBDX"
"OTHERS_18_49",35.5293306063221,"LOINC","std_freq","Aug_Dec","FRBDX"
"OTHERS_18_49",-99,"LOINC","mean_freq","Jan_Jul","FRBDX"
"OTHERS_18_49",-99,"LOINC","std_freq","Jan_Jul","FRBDX"
"OTHERS_18_49",13,"MED-CLASS","mean_freq","Aug_Dec","FRBDX"
"OTHERS_18_49",10.4403065089106,"MED-CLASS","std_freq","Aug_Dec","FRBDX"
"OTHERS_18_49",-99,"MED-CLASS","mean_freq","Jan_Jul","FRBDX"
"OTHERS_18_49",-99,"MED-CLASS","std_freq","Jan_Jul","FRBDX"
"OTHERS_18_49",1,"PROC-ICD10","mean_freq","Aug_Dec","FRBDX"
"OTHERS_18_49",0,"PROC-ICD10","std_freq","Aug_Dec","FRBDX"
"OTHERS_18_49",-99,"PROC-ICD10","mean_freq","Jan_Jul","FRBDX"
"OTHERS_18_49",-99,"PROC-ICD10","std_freq","Jan_Jul","FRBDX"
"OTHERS_sup_49",26.3214285714286,"DIAG-ICD10","mean_freq","Aug_Dec","FRBDX"
"OTHERS_sup_49",13.5128294907677,"DIAG-ICD10","std_freq","Aug_Dec","FRBDX"
"OTHERS_sup_49",48.4090909090909,"DIAG-ICD10","mean_freq","Jan_Jul","FRBDX"
"OTHERS_sup_49",35.8510929512737,"DIAG-ICD10","std_freq","Jan_Jul","FRBDX"
"OTHERS_sup_49",87.4333333333333,"LOINC","mean_freq","Aug_Dec","FRBDX"
"OTHERS_sup_49",144.028178117874,"LOINC","std_freq","Aug_Dec","FRBDX"
"OTHERS_sup_49",74.4545454545455,"LOINC","mean_freq","Jan_Jul","FRBDX"
"OTHERS_sup_49",72.5749053262688,"LOINC","std_freq","Jan_Jul","FRBDX"
"OTHERS_sup_49",17.3448275862069,"MED-CLASS","mean_freq","Aug_Dec","FRBDX"
"OTHERS_sup_49",17.6296743792735,"MED-CLASS","std_freq","Aug_Dec","FRBDX"
"OTHERS_sup_49",33.7619047619048,"MED-CLASS","mean_freq","Jan_Jul","FRBDX"
"OTHERS_sup_49",49.7392247244614,"MED-CLASS","std_freq","Jan_Jul","FRBDX"
"OTHERS_sup_49",5.625,"PROC-ICD10","mean_freq","Aug_Dec","FRBDX"
"OTHERS_sup_49",3.62284418654736,"PROC-ICD10","std_freq","Aug_Dec","FRBDX"
"OTHERS_sup_49",2.66666666666667,"PROC-ICD10","mean_freq","Jan_Jul","FRBDX"
"OTHERS_sup_49",1.52752523165195,"PROC-ICD10","std_freq","Jan_Jul","FRBDX"
"ARDS_18_49",41.2857142857143,"patient","mean_los","all","FRBDX"
"ARDS_18_49",29.2059756041296,"patient","std_los","all","FRBDX"
"ARDS_sup_49",33.7317073170732,"patient","mean_los","all","FRBDX"
"ARDS_sup_49",40.3767245829176,"patient","std_los","all","FRBDX"
"NO_ARDS_18_49",6.43697478991597,"patient","mean_los","all","FRBDX"
"NO_ARDS_18_49",3.89183991052941,"patient","std_los","all","FRBDX"
"NO_ARDS_sup_49",11.6127562642369,"patient","mean_los","all","FRBDX"
"NO_ARDS_sup_49",10.7781879099924,"patient","std_los","all","FRBDX"
"OTHERS_18_49",11.5,"patient","mean_los","all","FRBDX"
"OTHERS_18_49",3.87298334620742,"patient","std_los","all","FRBDX"
"OTHERS_sup_49",16.6111111111111,"patient","mean_los","all","FRBDX"
"OTHERS_sup_49",17.3699118154925,"patient","std_los","all","FRBDX"
"ARDS_18_49",19,"patient","mean_los","Aug_Dec","FRBDX"
"ARDS_18_49",23.388031127053,"patient","std_los","Aug_Dec","FRBDX"
"ARDS_18_49",47.3636363636364,"patient","mean_los","Jan_Jul","FRBDX"
"ARDS_18_49",28.4579434508987,"patient","std_los","Jan_Jul","FRBDX"
"ARDS_sup_49",18.304347826087,"patient","mean_los","Aug_Dec","FRBDX"
"ARDS_sup_49",11.5236367045543,"patient","std_los","Aug_Dec","FRBDX"
"ARDS_sup_49",42.9480519480519,"patient","mean_los","Jan_Jul","FRBDX"
"ARDS_sup_49",48.0446327863604,"patient","std_los","Jan_Jul","FRBDX"
"NO_ARDS_18_49",6.41379310344828,"patient","mean_los","Aug_Dec","FRBDX"
"NO_ARDS_18_49",3.96364796778296,"patient","std_los","Aug_Dec","FRBDX"
"NO_ARDS_18_49",6.5,"patient","mean_los","Jan_Jul","FRBDX"
"NO_ARDS_18_49",3.75026880756997,"patient","std_los","Jan_Jul","FRBDX"
"NO_ARDS_sup_49",10.9734848484848,"patient","mean_los","Aug_Dec","FRBDX"
"NO_ARDS_sup_49",9.55050899325203,"patient","std_los","Aug_Dec","FRBDX"
"NO_ARDS_sup_49",12.5771428571429,"patient","mean_los","Jan_Jul","FRBDX"
"NO_ARDS_sup_49",12.3694814866909,"patient","std_los","Jan_Jul","FRBDX"
"OTHERS_18_49",9.66666666666667,"patient","mean_los","Aug_Dec","FRBDX"
"OTHERS_18_49",1.52752523165195,"patient","std_los","Aug_Dec","FRBDX"
"OTHERS_18_49",-99,"patient","mean_los","Jan_Jul","FRBDX"
"OTHERS_18_49",-99,"patient","std_los","Jan_Jul","FRBDX"
"OTHERS_sup_49",14.78125,"patient","mean_los","Aug_Dec","FRBDX"
"OTHERS_sup_49",16.0598364491732,"patient","std_los","Aug_Dec","FRBDX"
"OTHERS_sup_49",19.2727272727273,"patient","mean_los","Jan_Jul","FRBDX"
"OTHERS_sup_49",19.1887412877393,"patient","std_los","Jan_Jul","FRBDX"
"ARDS_18_49",14,"patient","n_severe","all","FRBDX"
"ARDS_sup_49",123,"patient","n_severe","all","FRBDX"
"NO_ARDS_18_49",73,"patient","n_severe","all","FRBDX"
"NO_ARDS_18_49",46,"patient","n_severe","all","FRBDX"
"NO_ARDS_sup_49",265,"patient","n_severe","all","FRBDX"
"NO_ARDS_sup_49",174,"patient","n_severe","all","FRBDX"
"OTHERS_18_49",4,"patient","n_severe","all","FRBDX"
"OTHERS_sup_49",54,"patient","n_severe","all","FRBDX"
"ARDS_18_49",3,"patient","n_severe","Aug_Dec","FRBDX"
"ARDS_18_49",11,"patient","n_severe","Jan_Jul","FRBDX"
"ARDS_sup_49",46,"patient","n_severe","Aug_Dec","FRBDX"
"ARDS_sup_49",77,"patient","n_severe","Jan_Jul","FRBDX"
"NO_ARDS_18_49",54,"patient","n_severe","Aug_Dec","FRBDX"
"NO_ARDS_18_49",19,"patient","n_severe","Jan_Jul","FRBDX"
"NO_ARDS_18_49",33,"patient","n_severe","Aug_Dec","FRBDX"
"NO_ARDS_18_49",13,"patient","n_severe","Jan_Jul","FRBDX"
"NO_ARDS_sup_49",160,"patient","n_severe","Aug_Dec","FRBDX"
"NO_ARDS_sup_49",105,"patient","n_severe","Jan_Jul","FRBDX"
"NO_ARDS_sup_49",104,"patient","n_severe","Aug_Dec","FRBDX"
"NO_ARDS_sup_49",70,"patient","n_severe","Jan_Jul","FRBDX"
"OTHERS_18_49",3,"patient","n_severe","Aug_Dec","FRBDX"
"OTHERS_18_49",-99,"patient","n_severe","Jan_Jul","FRBDX"
"OTHERS_sup_49",32,"patient","n_severe","Aug_Dec","FRBDX"
"OTHERS_sup_49",22,"patient","n_severe","Jan_Jul","FRBDX"
"ARDS_18_49",14,"patient","26to49","all","FRBDX"
"ARDS_sup_49",74,"patient","50to69","all","FRBDX"
"ARDS_sup_49",33,"patient","70to79","all","FRBDX"
"ARDS_sup_49",16,"patient","80plus","all","FRBDX"
"NO_ARDS_18_49",18,"patient","18to25","all","FRBDX"
"NO_ARDS_18_49",101,"patient","26to49","all","FRBDX"
"NO_ARDS_sup_49",198,"patient","50to69","all","FRBDX"
"NO_ARDS_sup_49",103,"patient","70to79","all","FRBDX"
"NO_ARDS_sup_49",138,"patient","80plus","all","FRBDX"
"OTHERS_18_49",4,"patient","26to49","all","FRBDX"
"OTHERS_sup_49",6,"patient","50to69","all","FRBDX"
"OTHERS_sup_49",14,"patient","70to79","all","FRBDX"
"OTHERS_sup_49",34,"patient","80plus","all","FRBDX"
"ARDS_18_49",3,"patient","26to49","Aug_Dec","FRBDX"
"ARDS_18_49",11,"patient","26to49","Jan_Jul","FRBDX"
"ARDS_sup_49",25,"patient","50to69","Aug_Dec","FRBDX"
"ARDS_sup_49",49,"patient","50to69","Jan_Jul","FRBDX"
"ARDS_sup_49",14,"patient","70to79","Aug_Dec","FRBDX"
"ARDS_sup_49",19,"patient","70to79","Jan_Jul","FRBDX"
"ARDS_sup_49",7,"patient","80plus","Aug_Dec","FRBDX"
"ARDS_sup_49",9,"patient","80plus","Jan_Jul","FRBDX"
"NO_ARDS_18_49",16,"patient","18to25","Aug_Dec","FRBDX"
"NO_ARDS_18_49",-99,"patient","18to25","Jan_Jul","FRBDX"
"NO_ARDS_18_49",71,"patient","26to49","Aug_Dec","FRBDX"
"NO_ARDS_18_49",30,"patient","26to49","Jan_Jul","FRBDX"
"NO_ARDS_sup_49",112,"patient","50to69","Aug_Dec","FRBDX"
"NO_ARDS_sup_49",86,"patient","50to69","Jan_Jul","FRBDX"
"NO_ARDS_sup_49",66,"patient","70to79","Aug_Dec","FRBDX"
"NO_ARDS_sup_49",37,"patient","70to79","Jan_Jul","FRBDX"
"NO_ARDS_sup_49",86,"patient","80plus","Aug_Dec","FRBDX"
"NO_ARDS_sup_49",52,"patient","80plus","Jan_Jul","FRBDX"
"OTHERS_18_49",3,"patient","26to49","Aug_Dec","FRBDX"
"OTHERS_18_49",-99,"patient","26to49","Jan_Jul","FRBDX"
"OTHERS_sup_49",3,"patient","50to69","Aug_Dec","FRBDX"
"OTHERS_sup_49",3,"patient","50to69","Jan_Jul","FRBDX"
"OTHERS_sup_49",9,"patient","70to79","Aug_Dec","FRBDX"
"OTHERS_sup_49",5,"patient","70to79","Jan_Jul","FRBDX"
"OTHERS_sup_49",20,"patient","80plus","Aug_Dec","FRBDX"
"OTHERS_sup_49",14,"patient","80plus","Jan_Jul","FRBDX"
"ARDS_18_49",4,"patient","female","all","FRBDX"
"ARDS_18_49",10,"patient","male","all","FRBDX"
"ARDS_sup_49",31,"patient","female","all","FRBDX"
"ARDS_sup_49",92,"patient","male","all","FRBDX"
"NO_ARDS_18_49",63,"patient","female","all","FRBDX"
"NO_ARDS_18_49",56,"patient","male","all","FRBDX"
"NO_ARDS_sup_49",185,"patient","female","all","FRBDX"
"NO_ARDS_sup_49",254,"patient","male","all","FRBDX"
"OTHERS_18_49",-99,"patient","female","all","FRBDX"
"OTHERS_18_49",-99,"patient","male","all","FRBDX"
"OTHERS_sup_49",32,"patient","female","all","FRBDX"
"OTHERS_sup_49",22,"patient","male","all","FRBDX"
"ARDS_18_49",-99,"patient","female","Aug_Dec","FRBDX"
"ARDS_18_49",3,"patient","female","Jan_Jul","FRBDX"
"ARDS_18_49",-99,"patient","male","Aug_Dec","FRBDX"
"ARDS_18_49",8,"patient","male","Jan_Jul","FRBDX"
"ARDS_sup_49",10,"patient","female","Aug_Dec","FRBDX"
"ARDS_sup_49",21,"patient","female","Jan_Jul","FRBDX"
"ARDS_sup_49",36,"patient","male","Aug_Dec","FRBDX"
"ARDS_sup_49",56,"patient","male","Jan_Jul","FRBDX"
"NO_ARDS_18_49",46,"patient","female","Aug_Dec","FRBDX"
"NO_ARDS_18_49",17,"patient","female","Jan_Jul","FRBDX"
"NO_ARDS_18_49",41,"patient","male","Aug_Dec","FRBDX"
"NO_ARDS_18_49",15,"patient","male","Jan_Jul","FRBDX"
"NO_ARDS_sup_49",102,"patient","female","Aug_Dec","FRBDX"
"NO_ARDS_sup_49",83,"patient","female","Jan_Jul","FRBDX"
"NO_ARDS_sup_49",162,"patient","male","Aug_Dec","FRBDX"
"NO_ARDS_sup_49",92,"patient","male","Jan_Jul","FRBDX"
"OTHERS_18_49",-99,"patient","female","Aug_Dec","FRBDX"
"OTHERS_18_49",-99,"patient","female","Jan_Jul","FRBDX"
"OTHERS_18_49",-99,"patient","male","Aug_Dec","FRBDX"
"OTHERS_sup_49",18,"patient","female","Aug_Dec","FRBDX"
"OTHERS_sup_49",14,"patient","female","Jan_Jul","FRBDX"
"OTHERS_sup_49",14,"patient","male","Aug_Dec","FRBDX"
"OTHERS_sup_49",8,"patient","male","Jan_Jul","FRBDX"
"ARDS_18_49",12,"patient","no_previous_hospi","all","FRBDX"
"ARDS_18_49",-99,"patient","previous_hospi","all","FRBDX"
"ARDS_sup_49",102,"patient","no_previous_hospi","all","FRBDX"
"ARDS_sup_49",21,"patient","previous_hospi","all","FRBDX"
"NO_ARDS_18_49",87,"patient","no_previous_hospi","all","FRBDX"
"NO_ARDS_18_49",32,"patient","previous_hospi","all","FRBDX"
"NO_ARDS_sup_49",307,"patient","no_previous_hospi","all","FRBDX"
"NO_ARDS_sup_49",132,"patient","previous_hospi","all","FRBDX"
"OTHERS_18_49",-99,"patient","no_previous_hospi","all","FRBDX"
"OTHERS_18_49",-99,"patient","previous_hospi","all","FRBDX"
"OTHERS_sup_49",34,"patient","no_previous_hospi","all","FRBDX"
"OTHERS_sup_49",20,"patient","previous_hospi","all","FRBDX"
"ARDS_18_49",12,"patient","no_previous_hospi",,"FRBDX"
"ARDS_18_49",-99,"patient","previous_hospi","Jan_Jul","FRBDX"
"ARDS_sup_49",102,"patient","no_previous_hospi",,"FRBDX"
"ARDS_sup_49",11,"patient","previous_hospi","Aug_Dec","FRBDX"
"ARDS_sup_49",10,"patient","previous_hospi","Jan_Jul","FRBDX"
"NO_ARDS_18_49",87,"patient","no_previous_hospi",,"FRBDX"
"NO_ARDS_18_49",26,"patient","previous_hospi","Aug_Dec","FRBDX"
"NO_ARDS_18_49",6,"patient","previous_hospi","Jan_Jul","FRBDX"
"NO_ARDS_sup_49",307,"patient","no_previous_hospi",,"FRBDX"
"NO_ARDS_sup_49",88,"patient","previous_hospi","Aug_Dec","FRBDX"
"NO_ARDS_sup_49",44,"patient","previous_hospi","Jan_Jul","FRBDX"
"OTHERS_18_49",-99,"patient","no_previous_hospi",,"FRBDX"
"OTHERS_18_49",-99,"patient","previous_hospi","Aug_Dec","FRBDX"
"OTHERS_sup_49",34,"patient","no_previous_hospi",,"FRBDX"
"OTHERS_sup_49",12,"patient","previous_hospi","Aug_Dec","FRBDX"
"OTHERS_sup_49",8,"patient","previous_hospi","Jan_Jul","FRBDX"
"ARDS_18_49",14,"patient","no_rehospit","all","FRBDX"
"ARDS_sup_49",119,"patient","no_rehospit","all","FRBDX"
"ARDS_sup_49",4,"patient","rehospit","all","FRBDX"
"NO_ARDS_18_49",107,"patient","no_rehospit","all","FRBDX"
"NO_ARDS_18_49",12,"patient","rehospit","all","FRBDX"
"NO_ARDS_sup_49",406,"patient","no_rehospit","all","FRBDX"
"NO_ARDS_sup_49",33,"patient","rehospit","all","FRBDX"
"OTHERS_18_49",-99,"patient","no_rehospit","all","FRBDX"
"OTHERS_18_49",-99,"patient","rehospit","all","FRBDX"
"OTHERS_sup_49",50,"patient","no_rehospit","all","FRBDX"
"OTHERS_sup_49",4,"patient","rehospit","all","FRBDX"
"ARDS_18_49",3,"patient","no_rehospit","Aug_Dec","FRBDX"
"ARDS_18_49",11,"patient","no_rehospit","Jan_Jul","FRBDX"
"ARDS_sup_49",45,"patient","no_rehospit","Aug_Dec","FRBDX"
"ARDS_sup_49",74,"patient","no_rehospit","Jan_Jul","FRBDX"
"ARDS_sup_49",-99,"patient","rehospit","Aug_Dec","FRBDX"
"ARDS_sup_49",3,"patient","rehospit","Jan_Jul","FRBDX"
"NO_ARDS_18_49",80,"patient","no_rehospit","Aug_Dec","FRBDX"
"NO_ARDS_18_49",27,"patient","no_rehospit","Jan_Jul","FRBDX"
"NO_ARDS_18_49",7,"patient","rehospit","Aug_Dec","FRBDX"
"NO_ARDS_18_49",5,"patient","rehospit","Jan_Jul","FRBDX"
"NO_ARDS_sup_49",251,"patient","no_rehospit","Aug_Dec","FRBDX"
"NO_ARDS_sup_49",155,"patient","no_rehospit","Jan_Jul","FRBDX"
"NO_ARDS_sup_49",13,"patient","rehospit","Aug_Dec","FRBDX"
"NO_ARDS_sup_49",20,"patient","rehospit","Jan_Jul","FRBDX"
"OTHERS_18_49",-99,"patient","no_rehospit","Aug_Dec","FRBDX"
"OTHERS_18_49",-99,"patient","no_rehospit","Jan_Jul","FRBDX"
"OTHERS_18_49",-99,"patient","rehospit","Aug_Dec","FRBDX"
"OTHERS_sup_49",30,"patient","no_rehospit","Aug_Dec","FRBDX"
"OTHERS_sup_49",20,"patient","no_rehospit","Jan_Jul","FRBDX"
"OTHERS_sup_49",-99,"patient","rehospit","Aug_Dec","FRBDX"
"OTHERS_sup_49",-99,"patient","rehospit","Jan_Jul","FRBDX"
"ARDS_18_49",0,"patient","dead","all","FRBDX"
"ARDS_18_49",0,"patient","dead_less_28","all","FRBDX"
"ARDS_18_49",0,"patient","dead_less_90","all","FRBDX"
"ARDS_18_49",5,"patient","out_hospit_28","all","FRBDX"
"ARDS_18_49",13,"patient","out_hospit_90","all","FRBDX"
"ARDS_sup_49",30,"patient","dead","all","FRBDX"
